Quantum	Mean Turnaround Time	Mean Waiting Time	No total de trocas	Media trocas por processo	Media instr por quantum	
1	394.60	378.77	475	15.83	1.00	
2	376.37	360.53	292	9.73	1.66	
3	369.17	353.33	234	7.80	2.15	
4	360.43	344.60	210	7.00	2.48	
5	358.80	342.97	190	6.33	2.89	
6	354.17	338.33	179	5.97	3.17	
7	348.80	332.97	173	5.77	3.40	
8	350.27	334.43	173	5.77	3.40	
9	349.80	333.97	172	5.73	3.44	
10	349.60	333.77	169	5.63	3.58	
11	342.80	326.97	165	5.50	3.97	
12	342.90	327.07	165	5.50	3.97	
13	343.00	327.17	165	5.50	3.97	
14	339.73	323.90	164	5.47	4.06	
15	339.90	324.07	164	5.47	4.06	
16	340.07	324.23	164	5.47	4.06	
16	340.07	324.23	164	5.47	4.06	
17	340.23	324.40	164	5.47	4.06	
18	340.40	324.57	164	5.47	4.06	
19	340.57	324.73	164	5.47	4.06	
20	340.73	324.90	164	5.47	4.06	
21	333.43	317.60	162	5.40	4.76	
